"date";"lunch";"dinner"
"2020-01-13";"94";"0"
"2020-01-14";"118";"0"
"2020-01-15";"138";"0"
"2020-01-16";"122";"0"
"2020-01-17";"94";"0"
"2020-01-20";"115";"0"
"2020-01-21";"171";"0"
"2020-01-22";"160";"0"
"2020-01-23";"147";"0"
"2020-01-24";"153";"0"
"2020-01-27";"102";"0"
"2020-01-28";"138";"0"
"2020-01-29";"155";"0"
"2020-01-30";"142";"0"
"2020-01-31";"131";"0"
"2020-02-03";"219";"45"
"2020-02-04";"261";"55"
"2020-02-05";"223";"35"
"2020-02-06";"210";"38"
"2020-02-07";"136";"0"
"2020-02-10";"129";"0"
"2020-02-11";"143";"0"
"2020-02-12";"173";"0"
"2020-02-13";"149";"0"
"2020-02-14";"184";"0"
"2020-02-17";"723";"503"
"2020-02-18";"961";"577"
"2020-02-19";"912";"413"
"2020-02-20";"779";"379"
"2020-02-21";"487";"132"
"2020-02-24";"0";"0"
"2020-02-25";"0";"0"
"2020-02-26";"0";"0"
"2020-02-27";"689";"501"
"2020-02-28";"657";"289"
"2020-03-02";"847";"614"
"2020-03-03";"1033";"687"
"2020-03-04";"830";"608"
"2020-03-05";"944";"691"
"2020-03-06";"823";"353"
"2020-03-09";"843";"639"
"2020-03-10";"1001";"626"
"2020-03-11";"1002";"611"
"2020-03-12";"953";"549"
"2020-03-13";"795";"410"
"2020-03-16";"646";"328"
"2020-03-17";"104";"31"
"2020-03-18";"31";"12"
"2020-03-19";"0";"0"
"2020-03-20";"12";"9"
"2020-03-23";"9";"6"
"2020-03-24";"10";"9"
"2020-03-25";"0";"0"
"2020-03-26";"11";"13"
"2020-03-27";"15";"14"
"2020-03-30";"13";"12"
"2020-03-31";"14";"9"
