,ano,mes,dia_semana,Qt_almoco,Qt_jantar,dia
211,2016,12,4,523,268,2
212,2016,12,0,613,391,5
213,2016,12,1,626,401,6
214,2016,12,2,614,367,7
215,2016,12,4,408,233,9
216,2016,12,0,558,339,12
217,2016,12,1,532,292,13
218,2016,12,2,550,291,14
219,2016,12,3,537,337,15
220,2016,12,4,370,185,16
221,2016,12,0,251,155,19
222,2016,12,1,263,127,20
223,2016,12,2,180,110,21
224,2016,12,3,175,48,22
225,2017,1,1,99,0,3
226,2017,1,2,167,0,4
227,2017,1,3,176,0,5
228,2017,1,4,149,0,6
229,2017,1,0,148,0,9
230,2017,1,1,159,0,10
231,2017,1,2,181,0,11
232,2017,1,3,184,0,12
233,2017,1,4,129,0,13
234,2017,1,0,152,0,16
235,2017,1,1,177,0,17
236,2017,1,2,199,0,18
237,2017,1,3,225,0,19
238,2017,1,4,181,0,20
239,2017,1,0,186,107,23
240,2017,1,1,216,124,24
241,2017,1,2,235,124,25
242,2017,1,3,214,112,26
243,2017,1,4,181,103,27
244,2017,1,0,184,101,30
245,2017,1,1,211,110,31
246,2017,2,2,239,99,1
247,2017,2,3,215,92,2
248,2017,2,4,191,98,3
249,2017,2,0,181,78,6
250,2017,2,1,196,90,7
251,2017,2,2,205,102,8
252,2017,2,3,266,0,9
253,2017,2,4,180,0,10
254,2017,2,0,152,0,13
255,2017,2,1,177,0,14
256,2017,2,2,185,0,15
257,2017,2,3,158,0,16
258,2017,2,4,193,0,17
259,2017,2,0,135,0,20
260,2017,2,1,165,0,21
261,2017,2,2,175,0,22
262,2017,2,3,169,0,23
263,2017,2,4,121,0,24
264,2017,3,3,100,0,2
265,2017,3,4,117,0,3
266,2017,3,0,176,0,6
267,2017,3,1,202,0,7
268,2017,3,2,231,0,8
269,2017,3,3,259,0,9
270,2017,3,4,233,0,10
271,2017,3,0,805,567,13
272,2017,3,1,837,590,14
273,2017,3,2,838,542,15
274,2017,3,3,857,547,16
275,2017,3,4,731,356,17
276,2017,3,0,787,587,20
277,2017,3,1,859,572,21
278,2017,3,2,835,616,22
279,2017,3,3,872,560,23
280,2017,3,4,699,441,24
281,2017,3,0,750,562,27
282,2017,3,1,886,519,28
283,2017,3,2,863,587,29
284,2017,3,3,852,564,30
285,2017,3,4,725,417,31
286,2017,4,0,637,531,3
287,2017,4,1,838,548,4
288,2017,4,2,821,585,5
289,2017,4,3,867,571,6
290,2017,4,4,732,377,7
291,2017,4,0,754,527,10
292,2017,4,1,790,469,11
293,2017,4,2,658,419,12
294,2017,4,0,580,442,17
295,2017,4,1,796,499,18
296,2017,4,2,808,525,19
297,2017,4,3,740,426,20
298,2017,4,0,702,516,24
299,2017,4,1,788,543,25
300,2017,4,2,832,573,26
301,2017,4,3,833,517,27
302,2017,4,4,355,204,28
303,2017,5,1,734,491,2
304,2017,5,2,805,501,3
305,2017,5,3,807,555,4
306,2017,5,4,671,375,5
307,2017,5,0,672,502,8
308,2017,5,1,808,541,9
309,2017,5,2,823,513,10
310,2017,5,3,808,493,11
311,2017,5,4,575,304,12
312,2017,5,0,647,498,15
313,2017,5,1,823,502,16
314,2017,5,2,763,517,17
315,2017,5,3,817,507,18
316,2017,5,4,694,402,19
317,2017,5,0,707,514,22
318,2017,5,1,806,518,23
