,ano,mes,dia_semana,Qt_almoco,Qt_jantar,dia
920,2019,12,3,629,352,5
921,2019,12,4,487,224,6
922,2019,12,0,378,255,9
923,2019,12,1,410,212,10
924,2019,12,2,393,177,11
925,2019,12,3,333,140,12
926,2019,12,4,238,76,13
927,2019,12,0,130,0,16
928,2019,12,1,134,0,17
929,2019,12,2,150,0,18
930,2019,12,3,120,0,19
931,2019,12,4,106,0,20
932,2020,1,0,82,0,6
933,2020,1,1,91,0,7
934,2020,1,2,132,0,8
935,2020,1,3,114,0,9
936,2020,1,4,80,0,10
937,2020,1,0,94,0,13
938,2020,1,1,118,0,14
939,2020,1,2,138,0,15
940,2020,1,3,122,0,16
941,2020,1,4,94,0,17
942,2020,1,0,115,0,20
943,2020,1,1,171,0,21
944,2020,1,2,160,0,22
945,2020,1,3,147,0,23
946,2020,1,4,153,0,24
947,2020,1,0,102,0,27
948,2020,1,1,138,0,28
949,2020,1,2,155,0,29
950,2020,1,3,142,0,30
951,2020,1,4,131,0,31
952,2020,2,0,219,45,3
953,2020,2,1,261,55,4
954,2020,2,2,223,35,5
955,2020,2,3,210,38,6
956,2020,2,4,136,0,7
957,2020,2,0,129,0,10
958,2020,2,1,143,0,11
959,2020,2,2,173,0,12
960,2020,2,3,149,0,13
961,2020,2,4,184,0,14
962,2020,2,0,723,503,17
963,2020,2,1,961,577,18
964,2020,2,2,912,413,19
965,2020,2,3,779,379,20
966,2020,2,4,487,132,21
967,2020,2,3,689,501,27
968,2020,2,4,657,289,28
969,2020,3,0,847,614,2
970,2020,3,1,1033,687,3
971,2020,3,2,830,608,4
972,2020,3,3,944,691,5
973,2020,3,4,823,353,6
974,2020,3,0,843,639,9
975,2020,3,1,1001,626,10
976,2020,3,2,1002,611,11
977,2020,3,3,953,549,12
978,2020,3,4,795,410,13
979,2020,3,0,646,328,16
980,2020,3,1,104,31,17
981,2020,3,2,31,12,18
982,2020,3,4,12,9,20
983,2020,3,0,9,6,23
984,2020,3,1,10,9,24
985,2020,3,3,11,13,26
986,2020,3,4,15,14,27
987,2020,3,0,13,12,30
988,2020,3,1,14,9,31
